,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b14,b15,name,time
0,4,0,1,0,1,0,2,0,2,0,7,0,904314701,15000,"103,119-2008-08-27_14.31.41.rdf",2008-07-27_14.31.41
1,4,0,1,0,1,0,2,0,2,0,7,0,904315695,15000,"103,119-2008-08-27_14.48.15.rdf",2008-07-27_14.48.15
2,4,0,1,0,1,0,2,0,2,0,7,0,904316302,15000,"103,119-2008-08-27_14.58.22.rdf",2008-07-27_14.58.22
3,4,0,1,0,1,0,2,0,2,0,7,0,904317017,15000,"103,119-2008-08-27_15.10.17 норма.rdf",2008-07-27_15.10.17
4,4,0,1,0,1,0,2,0,2,0,7,0,904317017,15000,"103,119-2008-08-27_15.10.17.rdf",2008-07-27_15.10.17
5,4,0,1,0,1,0,2,0,2,0,7,0,904317109,15000,"103,119-2008-08-27_15.11.49.rdf",2008-07-27_15.11.49
6,4,0,1,0,1,0,2,0,2,0,7,0,904323543,15000,"103,119-2008-08-27_16.59.03 норма.rdf",2008-07-27_16.59.03
7,4,0,1,0,1,0,2,0,2,0,7,0,904323543,15000,"103,119-2008-08-27_16.59.03.rdf",2008-07-27_16.59.03
8,4,0,1,0,1,0,2,0,2,0,7,0,904386843,15000,"103,119-2008-08-28_10.34.03 норма.rdf",2008-07-28_10.34.03
9,4,0,1,0,1,0,2,0,2,0,7,0,904386843,15000,"103,119-2008-08-28_10.34.03.rdf",2008-07-28_10.34.03
10,4,0,1,0,1,0,2,0,2,0,7,0,904386868,15000,"103,119-2008-08-28_10.34.28.rdf",2008-07-28_10.34.28
11,4,0,1,0,1,0,2,0,0,0,7,0,935654738,15000,"103,119-2009-08-25_08.05.38 КЗ.rdf",2009-07-25_08.05.38
12,4,0,1,0,1,0,2,0,0,0,7,0,935748507,15000,"103,119-2009-08-26_10.08.27 Отказ вклКТ.rdf",2009-07-26_10.08.27
13,4,0,1,0,1,0,2,0,0,0,7,0,935784295,15000,"103,119-2009-08-26_20.04.55.rdf",2009-07-26_20.04.55
14,4,0,1,0,1,0,2,0,0,0,7,0,936983434,15000,"103,119-2009-09-09_17.10.34 КЗ.rdf",2009-08-09_17.10.34
15,4,0,1,0,1,0,2,0,0,0,7,0,936983447,15000,"103,119-2009-09-09_17.10.47.rdf",2009-08-09_17.10.47
16,4,0,1,0,1,0,2,0,0,0,7,0,939940039,15000,"103,119-2009-10-13_22.27.19.rdf",2009-09-12_22.27.19
17,4,0,1,0,1,0,2,0,0,0,7,0,943606990,15000,"103,119-2009-11-25_09.03.10.rdf",2009-10-25_09.03.10
18,4,0,1,0,1,0,2,0,0,0,7,0,943607139,15000,"103,119-2009-11-25_09.05.39.rdf",2009-10-25_09.05.39
19,4,0,1,0,1,0,2,0,0,0,7,0,943612667,15000,"103,119-2009-11-25_10.37.47.rdf",2009-10-25_10.37.47
20,4,0,1,0,1,0,2,0,0,0,7,0,943615292,15000,"103,119-2009-11-25_11.21.32.rdf",2009-10-25_11.21.32
21,4,0,1,0,1,0,2,0,0,0,7,0,943637006,15000,"103,119-2009-11-25_17.23.26.rdf",2009-10-25_17.23.26
22,4,0,1,0,1,0,2,0,0,0,7,0,943637155,15000,"103,119-2009-11-25_17.25.55.rdf",2009-10-25_17.25.55
23,4,0,1,0,1,0,2,0,0,0,7,0,943638850,15000,"103,119-2009-11-25_17.54.10.rdf",2009-10-25_17.54.10
